group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
end2end,middleware_b256,,1,elements,67657115.0,ns,2
end2end,middleware_b256,,1,elements,67380120.0,ns,2
end2end,middleware_b256,,1,elements,68033400.0,ns,2
end2end,middleware_b256,,1,elements,68983035.0,ns,2
end2end,middleware_b256,,1,elements,70878990.0,ns,2
end2end,middleware_b256,,1,elements,65748110.0,ns,2
end2end,middleware_b256,,1,elements,66528295.0,ns,2
end2end,middleware_b256,,1,elements,67248153.0,ns,2
end2end,middleware_b256,,1,elements,68209609.0,ns,2
end2end,middleware_b256,,1,elements,69184000.0,ns,2
end2end,middleware_b256,,1,elements,66604046.0,ns,2
end2end,middleware_b256,,1,elements,68061768.0,ns,2
end2end,middleware_b256,,1,elements,67011814.0,ns,2
end2end,middleware_b256,,1,elements,67555222.0,ns,2
end2end,middleware_b256,,1,elements,66431036.0,ns,2
end2end,middleware_b256,,1,elements,66726866.0,ns,2
end2end,middleware_b256,,1,elements,67430846.0,ns,2
end2end,middleware_b256,,1,elements,67494537.0,ns,2
end2end,middleware_b256,,1,elements,65840107.0,ns,2
end2end,middleware_b256,,1,elements,68653990.0,ns,2
end2end,middleware_b256,,1,elements,68648340.0,ns,2
end2end,middleware_b256,,1,elements,65938440.0,ns,2
end2end,middleware_b256,,1,elements,65435219.0,ns,2
end2end,middleware_b256,,1,elements,66258455.0,ns,2
end2end,middleware_b256,,1,elements,70076050.0,ns,2
end2end,middleware_b256,,1,elements,71007223.0,ns,2
end2end,middleware_b256,,1,elements,70059086.0,ns,2
end2end,middleware_b256,,1,elements,65055836.0,ns,2
end2end,middleware_b256,,1,elements,67236476.0,ns,2
end2end,middleware_b256,,1,elements,65770307.0,ns,2
end2end,middleware_b256,,1,elements,70452711.0,ns,2
end2end,middleware_b256,,1,elements,66654875.0,ns,2
end2end,middleware_b256,,1,elements,68247629.0,ns,2
end2end,middleware_b256,,1,elements,66692473.0,ns,2
end2end,middleware_b256,,1,elements,67752631.0,ns,2
end2end,middleware_b256,,1,elements,66366135.0,ns,2
end2end,middleware_b256,,1,elements,66347534.0,ns,2
end2end,middleware_b256,,1,elements,66231677.0,ns,2
end2end,middleware_b256,,1,elements,68795191.0,ns,2
end2end,middleware_b256,,1,elements,65926184.0,ns,2
end2end,middleware_b256,,1,elements,67322260.0,ns,2
end2end,middleware_b256,,1,elements,67614090.0,ns,2
end2end,middleware_b256,,1,elements,70337830.0,ns,2
end2end,middleware_b256,,1,elements,73562419.0,ns,2
end2end,middleware_b256,,1,elements,72425629.0,ns,2
end2end,middleware_b256,,1,elements,70103213.0,ns,2
end2end,middleware_b256,,1,elements,71113106.0,ns,2
end2end,middleware_b256,,1,elements,68641924.0,ns,2
end2end,middleware_b256,,1,elements,69327762.0,ns,2
end2end,middleware_b256,,1,elements,67977491.0,ns,2
end2end,middleware_b256,,1,elements,67816408.0,ns,2
end2end,middleware_b256,,1,elements,68132103.0,ns,2
end2end,middleware_b256,,1,elements,68786776.0,ns,2
end2end,middleware_b256,,1,elements,67095393.0,ns,2
end2end,middleware_b256,,1,elements,65825400.0,ns,2
end2end,middleware_b256,,1,elements,66757711.0,ns,2
end2end,middleware_b256,,1,elements,66623452.0,ns,2
end2end,middleware_b256,,1,elements,67678396.0,ns,2
end2end,middleware_b256,,1,elements,67680707.0,ns,2
end2end,middleware_b256,,1,elements,68787583.0,ns,2
end2end,middleware_b256,,1,elements,67383598.0,ns,2
end2end,middleware_b256,,1,elements,66437006.0,ns,2
end2end,middleware_b256,,1,elements,68027363.0,ns,2
end2end,middleware_b256,,1,elements,69939807.0,ns,2
end2end,middleware_b256,,1,elements,68310578.0,ns,2
end2end,middleware_b256,,1,elements,64336448.0,ns,2
end2end,middleware_b256,,1,elements,66422037.0,ns,2
end2end,middleware_b256,,1,elements,69721491.0,ns,2
end2end,middleware_b256,,1,elements,67598787.0,ns,2
end2end,middleware_b256,,1,elements,69074014.0,ns,2
end2end,middleware_b256,,1,elements,66623649.0,ns,2
end2end,middleware_b256,,1,elements,64717294.0,ns,2
end2end,middleware_b256,,1,elements,65603972.0,ns,2
end2end,middleware_b256,,1,elements,66537474.0,ns,2
end2end,middleware_b256,,1,elements,69090350.0,ns,2
end2end,middleware_b256,,1,elements,72096541.0,ns,2
end2end,middleware_b256,,1,elements,69303699.0,ns,2
end2end,middleware_b256,,1,elements,70516030.0,ns,2
end2end,middleware_b256,,1,elements,68569749.0,ns,2
end2end,middleware_b256,,1,elements,68227769.0,ns,2
end2end,middleware_b256,,1,elements,69010013.0,ns,2
end2end,middleware_b256,,1,elements,68779818.0,ns,2
end2end,middleware_b256,,1,elements,66595861.0,ns,2
end2end,middleware_b256,,1,elements,68607322.0,ns,2
end2end,middleware_b256,,1,elements,65799422.0,ns,2
end2end,middleware_b256,,1,elements,63653183.0,ns,2
end2end,middleware_b256,,1,elements,68738062.0,ns,2
end2end,middleware_b256,,1,elements,67497847.0,ns,2
end2end,middleware_b256,,1,elements,70698865.0,ns,2
end2end,middleware_b256,,1,elements,68730617.0,ns,2
end2end,middleware_b256,,1,elements,67498114.0,ns,2
end2end,middleware_b256,,1,elements,70247122.0,ns,2
end2end,middleware_b256,,1,elements,68874832.0,ns,2
end2end,middleware_b256,,1,elements,70956560.0,ns,2
end2end,middleware_b256,,1,elements,69754076.0,ns,2
end2end,middleware_b256,,1,elements,69407306.0,ns,2
end2end,middleware_b256,,1,elements,67416197.0,ns,2
end2end,middleware_b256,,1,elements,76351759.0,ns,2
end2end,middleware_b256,,1,elements,68868750.0,ns,2
end2end,middleware_b256,,1,elements,65795758.0,ns,2
